name annotation description region distance subregion insideDistance exonnumber nexons UTR strand geneL codingL Geneid subjectHits CpG pval p.adjusted
WEE2 "NM_001105558 NP_001099028" "inside exon" inside 19017 "inside exon" 0 10 12 "inside transcription region" + 22918 NA 494551 38097 cg05621788 2.144334050138517e-4 0.9999910461654503
ABHD4 "NM_022060 NP_071343 XM_005267986 XP_005268043 XR_001750499 XR_245712" downstream downstream 28514 NA NA NA 6 NA + 14118 NA 63874 51849 cg05941299 2.1487750621160975e-4 0.9999910461654503
PRPF31 "NM_015629 NP_056444 XM_006723137 XP_006723200 XR_002958293 XR_935789" "inside intron" inside 1250 "inside intron" -137 1 14 "5' UTR" + 15969 NA 26121 23889 cg25814432 2.153463380711699e-4 0.9999910461654503
ENOX1 "NM_001127615 NM_001242863 NM_001347963 NM_001347964 NM_001347965 NM_001347966 NM_001347967 NM_001347968 NM_001347969 NM_001347970 NM_001347971 NM_017993 NP_001121087 NP_001229792 NP_001334892 NP_001334893 NP_001334894 NP_001334895 NP_001334896 NP_001334897 NP_001334898 NP_001334899 NP_001334900 NP_060463 NR_145132 XM_011535126 XM_011535127 XM_017020637 XM_017020641 XM_017020642 XM_024449371 XM_024449372 XM_024449373 XM_024449374 XP_011533428 XP_011533429 XP_016876126 XP_016876130 XP_016876131 XP_024305139 XP_024305140 XP_024305141 XP_024305142 XR_001749592 XR_001749593 XR_001749594" "inside intron" inside 361538 "inside intron" -12448 4 17 "5' UTR" - 573450 NA 55068 43773 cg20906165 2.1542021605338844e-4 0.9999910461654503
NBPF8 "NM_001037501 NP_001032590 NR_102404 NR_102405" "inside intron" inside 547217 "inside intron" 206513 10 12 "inside transcription region" - 772606 NA 728841 57711 cg09801337 2.1590079718348393e-4 0.9999910461654503
SLC4A10 "NM_001178015 NM_001178016 NM_001354440 NM_001354441 NM_001354442 NM_001354443 NM_001354444 NM_001354445 NM_001354446 NM_001354447 NM_001354448 NM_001354449 NM_001354450 NM_001354451 NM_001354453 NM_001354455 NM_001354460 NM_001354461 NM_022058 NP_001171486 NP_001171487 NP_001341369 NP_001341370 NP_001341371 NP_001341372 NP_001341373 NP_001341374 NP_001341375 NP_001341376 NP_001341377 NP_001341378 NP_001341379 NP_001341380 NP_001341382 NP_001341384 NP_001341389 NP_001341390 NP_071341 XM_005246694 XM_011511509 XM_011511510 XM_011511512 XM_011511513 XM_017004546 XM_017004551 XM_017004552 XM_017004554 XM_024453016 XM_024453017 XP_005246751 XP_011509811 XP_011509812 XP_011509814 XP_011509815 XP_016860035 XP_016860040 XP_016860041 XP_016860043 XP_024308784 XP_024308785" upstream upstream 47660 NA NA NA 27 NA + 360941 NA 57282 48269 cg22371952 2.1598195836759125e-4 0.9999910461654503
PDE7A "NM_001242318 NM_002603 NM_002604 NP_001229247 NP_002594 XM_011517540 XM_017013538 XP_011515842 XP_016869027" upstream upstream 11930 NA NA NA 12 NA - 119917 NA 5150 40207 cg09740542 2.1623854286098007e-4 0.9999910461654503
RERG "NM_001190726 NM_032918 NP_001177655 NP_116307 XM_017020121 XP_016875610" "inside intron" inside 13384 "inside intron" 9335 2 4 "inside transcription region" - 113695 NA 85004 66611 cg01377436 2.1734117980369932e-4 0.9999910461654503
TCF7L2 "NM_001146274 NM_001146283 NM_001146284 NM_001146285 NM_001146286 NM_001198525 NM_001198526 NM_001198527 NM_001198528 NM_001198529 NM_001198530 NM_001198531 NM_001349870 NM_001349871 NM_001363501 NM_001367943 NM_030756 NP_001139746 NP_001139755 NP_001139756 NP_001139757 NP_001139758 NP_001185454 NP_001185455 NP_001185456 NP_001185457 NP_001185458 NP_001185459 NP_001185460 NP_001336799 NP_001336800 NP_001350430 NP_001354872 NP_110383" downstream downstream 72674 NA NA NA 12 NA + 38044 NA 6934 56242 cg03285130 2.1986872800578965e-4 0.9999910461654503
AHCY "NM_000687 NM_001161766 NM_001322084 NM_001322085 NM_001322086 NM_001362750 NP_000678 NP_001155238 NP_001309013 NP_001309014 NP_001309015 NP_001349679 XM_005260317 XM_011528656 XM_011528657 XM_011528658 XM_011528659 XM_017027709 XM_017027710 XP_005260374 XP_011526958 XP_011526959 XP_011526960 XP_011526961 XP_016883198 XP_016883199" upstream upstream 20940 NA NA NA 10 NA - 31537 NA 191 15974 cg14581717 2.2033208433543667e-4 0.9999910461654503
WDR70 "NM_001345998 NM_001345999 NM_018034 NP_001332927 NP_001332928 NP_060504 XM_011514061 XP_011512363" "inside intron" inside 196581 "inside intron" 29167 10 18 "inside transcription region" + 373362 NA 55100 43862 cg09597829 2.2116658579894447e-4 0.9999910461654503
PNRC1 "NM_006813 NP_006804 XR_001743125 XR_001743126 XR_001743127 XR_001743128" upstream upstream 21301 NA NA NA 2 NA + 4450 NA 10957 6478 cg12344600 2.2182359662355713e-4 0.9999910461654503
CDH13 "NM_001220488 NM_001220489 NM_001220490 NM_001220491 NM_001220492 NM_001257 NP_001207417 NP_001207418 NP_001207419 NP_001207420 NP_001207421 NP_001248 XM_011522804 XM_017022848 XM_017022849 XP_011521106 XP_016878337 XP_016878338" "inside intron" inside 1113341 "inside intron" 7967 10 13 "inside transcription region" + 1169816 NA 1012 3674 cg18028379 2.262891989667549e-4 0.9999910461654503
HMGB3 "NM_001301228 NM_001301229 NM_001301231 NM_005342 NP_001288157 NP_001288158 NP_001288160 NP_005333 XM_024452369 XP_024308137" promoter promoter 819 NA NA NA 3 NA + 7485 NA 3149 29506 cg02023473 2.2840695955758783e-4 0.9999910461654503
MIR517B NR_030205 "inside exon" inside 44 "inside exon" 0 1 1 "inside transcription region" + 66 NA 574483 48495 cg09393453 2.3211489439419787e-4 0.9999910461654503
DIPK2A "NM_001134470 NM_001363944 NM_173552 NP_001127942 NP_001350873 NP_775823 XM_011512543 XP_011510845" "inside exon" inside 88 "inside exon" 0 1 3 "5' UTR" + 19043 NA 205428 17108 cg00973947 2.3248559282070943e-4 0.9999910461654503
PPM1H "NM_020700 NP_065751 XM_011538578 XM_011538579 XM_017019676 XP_011536880 XP_011536881 XP_016875165" "inside intron" inside 275964 "inside intron" 8256 9 10 "inside transcription region" - 290902 NA 57460 48569 cg19034149 2.35425839886293e-4 0.9999910461654503
LRRC37A11P "NM_198502 NR_033753" "inside intron" inside 12993 "inside intron" 294 3 5 "inside transcription region" + 23299 NA 342666 30699 cg08790114 2.359837358417507e-4 0.9999910461654503
ULK4 "NM_001322500 NM_001322501 NM_017886 NP_001309429 NP_001309430 NP_060356 NR_136342 XM_011533880 XM_024453612 XM_024453613 XP_011532182 XP_024309380 XP_024309381" "inside intron" inside 276525 "inside intron" -3834 28 37 "inside transcription region" - 715570 NA 54986 43514 cg02630660 2.3635891208064041e-4 0.9999910461654503
CPEB3 "NM_001178137 NM_014912 NP_001171608 NP_055727 XM_005269630 XM_006717714 XM_006717715 XM_011539514 XM_011539515 XM_011539517 XM_011539518 XM_011539519 XM_011539520 XM_011539522 XM_011539523 XM_017015927 XM_024447893 XM_024447894 XM_024447895 XP_005269687 XP_006717777 XP_006717778 XP_011537816 XP_011537817 XP_011537819 XP_011537820 XP_011537821 XP_011537822 XP_011537824 XP_011537825 XP_016871416 XP_024303661 XP_024303662 XP_024303663 XR_001747063 XR_001747064" "inside intron" inside 74783 "inside intron" 23010 2 10 "inside transcription region" - 242478 NA 22849 18764 cg10967735 2.3849270304721558e-4 0.9999910461654503
PTPN3 "NM_001145368 NM_001145369 NM_001145370 NM_001145371 NM_001145372 NM_002829 NP_001138840 NP_001138841 NP_001138842 NP_001138843 NP_001138844 NP_002820 NR_026918 XM_006717197 XM_006717199 XM_006717201 XM_006717202 XM_006717203 XM_006717204 XM_011518888 XM_011518889 XM_017014955 XM_017014956 XM_017014957 XP_006717260 XP_006717262 XP_006717264 XP_006717265 XP_006717266 XP_006717267 XP_011517190 XP_011517191 XP_016870444 XP_016870445 XP_016870446" upstream upstream 36130 NA NA NA 4 NA - 45730 NA 5774 49385 cg16282910 2.3998255884292934e-4 0.9999910461654503
HDAC4 "NM_006037 NP_006028 XM_006712877 XM_006712878 XM_006712879 XM_006712880 XM_011512217 XM_011512218 XM_011512219 XM_011512220 XM_011512221 XM_011512222 XM_011512223 XM_011512224 XM_011512225 XM_011512226 XM_011512227 XM_011512230 XM_017005394 XM_017005395 XM_024453257 XP_006712940 XP_006712941 XP_006712942 XP_006712943 XP_011510519 XP_011510520 XP_011510521 XP_011510522 XP_011510523 XP_011510524 XP_011510525 XP_011510526 XP_011510527 XP_011510528 XP_011510529 XP_011510532 XP_016860883 XP_016860884 XP_024309025" "inside exon" inside 348406 "inside exon" -0 27 27 3'UTR - 352779 NA 9759 72490 cg15964153 2.412247218416548e-4 0.9999910461654503
CASP10 "NM_001206524 NM_001206542 NM_001230 NM_001306083 NM_032974 NM_032976 NM_032977 NP_001193453 NP_001193471 NP_001221 NP_001293012 NP_116756 NP_116758 NP_116759 XM_005246907 XM_006712796 XM_011511990 XP_005246964 XP_006712859 XP_011510292 XR_923043 XR_923044" "inside intron" inside 37743 "inside intron" 8286 8 8 "inside transcription region" + 46508 NA 843 65252 cg04152675 2.421780621956603e-4 0.9999910461654503
ZNF85 "NM_001256171 NM_001256172 NM_001256173 NM_003429 NP_001243100 NP_001243101 NP_001243102 NP_003420 NR_045830 XM_011528263 XM_011528264 XP_011526565 XP_011526566" promoter promoter 751 NA NA NA 3 NA + 27444 NA 7639 58960 cg02745321 2.4498900082956844e-4 0.9999910461654503
TAF11 "NM_001270488 NM_005643 NP_001257417 NP_005634 XM_011514827 XP_011513129" "inside intron" inside 2940 "inside intron" -2045 2 4 "inside transcription region" - 10293 NA 6882 55793 cg12922289 2.461278333257955e-4 0.9999910461654503
COA1 "NM_001321197 NM_001321198 NM_001321199 NM_001321200 NM_001321201 NM_001321202 NM_001321203 NM_001321204 NM_001321205 NM_001350924 NM_001350925 NM_001350926 NM_001350927 NM_001350928 NM_001371307 NM_001371308 NM_001371309 NM_001371310 NM_001371311 NM_001371312 NM_001371313 NM_001371314 NM_001371315 NM_001371316 NM_001371317 NM_001371318 NM_018224 NP_001308126 NP_001308127 NP_001308128 NP_001308129 NP_001308130 NP_001308131 NP_001308132 NP_001308133 NP_001308134 NP_001337853 NP_001337854 NP_001337855 NP_001337856 NP_001337857 NP_001358236 NP_001358237 NP_001358238 NP_001358239 NP_001358240 NP_001358241 NP_001358242 NP_001358243 NP_001358244 NP_001358245 NP_001358246 NP_001358247 NP_060694 NR_047701 NR_135580 NR_135581 NR_135582 NR_135583 NR_146940 NR_146941 NR_146942 NR_146943 NR_146944 NR_146945 NR_163914 NR_163915 NR_163916 NR_163917 NR_163918 NR_163919 XM_005249807 XM_006715752 XM_017012413 XM_017012414 XM_017012415 XM_017012416 XM_017012417 XM_017012418 XM_017012420 XM_017012421 XM_017012422 XM_017012424 XM_017012425 XM_017012426 XM_017012427 XM_017012428 XM_017012429 XM_017012430 XM_017012431 XM_017012432 XM_024446827 XM_024446828 XM_024446829 XM_024446830 XP_005249864 XP_006715815 XP_016867902 XP_016867903 XP_016867904 XP_016867905 XP_016867906 XP_016867907 XP_016867909 XP_016867910 XP_016867911 XP_016867913 XP_016867914 XP_016867915 XP_016867916 XP_016867917 XP_016867918 XP_016867919 XP_016867920 XP_016867921 XP_024302595 XP_024302596 XP_024302597 XP_024302598" "inside intron" inside 55894 "inside intron" -7919 2 7 "5' UTR" - 90294 NA 55744 45798 cg05935240 2.467802369662231e-4 0.9999910461654503
SSUH2 "NM_001256748 NM_001256749 NM_015931 NP_001243677 NP_001243678 NP_057015 NR_046358 XM_011533774 XM_017006510 XM_017006511 XM_017006512 XM_017006513 XM_017006514 XM_017006515 XM_017006516 XM_017006517 XM_017006518 XM_017006519 XM_017006520 XM_017006521 XM_017006522 XM_017006523 XM_017006524 XM_017006525 XM_017006526 XM_017006527 XM_017006528 XM_017006529 XM_017006530 XM_017006531 XM_017006532 XM_017006533 XM_017006534 XM_017006535 XM_017006536 XM_017006537 XM_017006538 XM_017006539 XM_017006540 XM_017006541 XM_017006542 XP_011532076 XP_016861999 XP_016862000 XP_016862001 XP_016862002 XP_016862003 XP_016862004 XP_016862005 XP_016862006 XP_016862007 XP_016862008 XP_016862009 XP_016862010 XP_016862011 XP_016862012 XP_016862013 XP_016862014 XP_016862015 XP_016862016 XP_016862017 XP_016862018 XP_016862019 XP_016862020 XP_016862021 XP_016862022 XP_016862023 XP_016862024 XP_016862025 XP_016862026 XP_016862027 XP_016862028 XP_016862029 XP_016862030 XP_016862031 XR_001740162 XR_001740163 XR_001740164 XR_001740165" "inside intron" inside 62081 "inside intron" -5600 5 18 "5' UTR" - 125640 NA 51066 39051 cg09596962 2.5170586360516347e-4 0.9999910461654503
GSE1 "NM_001134473 NM_001278184 NM_014615 NP_001127945 NP_001265113 NP_055430 XM_005255859 XM_005255860 XM_005255861 XM_005255863 XM_005255864 XM_005255865 XM_011522965 XM_011522966 XM_017023083 XM_017023084 XP_005255916 XP_005255917 XP_005255918 XP_005255920 XP_005255921 XP_005255922 XP_011521267 XP_011521268 XP_016878572 XP_016878573 XR_001751876 XR_001751877" upstream upstream 126123 NA NA NA 15 NA + 64783 NA 23199 20022 cg09274827 2.523740773991918e-4 0.9999910461654503
ATP8A2 "NM_001313741 NM_016529 NP_001300670 NP_057613 XM_005266419 XM_011535103 XM_011535104 XM_011535106 XM_011535107 XM_011535109 XM_011535113 XM_017020625 XM_017020626 XM_024449369 XP_005266476 XP_011533405 XP_011533406 XP_011533408 XP_011533409 XP_011533411 XP_011533415 XP_016876114 XP_016876115 XP_024305137" "inside intron" inside 66046 "inside intron" -41805 10 20 "inside transcription region" + 360150 NA 51761 40861 cg14178352 2.5243982103936814e-4 0.9999910461654503
MAP11 "NM_001303470 NM_018275 NP_001290399 NP_060745" "inside exon" inside 1561 "inside exon" -0 5 11 "5' UTR" - 4295 NA 55262 44505 cg14701566 2.527257087412108e-4 0.9999910461654503
JUP "NM_001352773 NM_001352774 NM_001352775 NM_001352776 NM_001352777 NM_002230 NM_021991 NP_001339702 NP_001339703 NP_001339704 NP_001339705 NP_001339706 NP_002221 NP_068831 XM_006721874 XM_006721875 XM_011524753 XM_011524756 XM_011524758 XM_017024588 XM_017024590 XP_006721937 XP_006721938 XP_011523055 XP_011523058 XP_011523060 XP_016880077 XP_016880079" "inside intron" inside 142218 "inside intron" -104365 5 9 "inside transcription region" - 248245 NA 3728 31847 cg16071319 2.5357035837307725e-4 0.9999910461654503
IL1B "NM_000576 NP_000567 XM_017003988 XP_016859477" upstream upstream 15156 NA NA NA 7 NA - 7019 NA 3553 31293 cg04336159 2.5582320476517397e-4 0.9999910461654503
TFF1 "NM_003225 NP_003216" downstream downstream 7493 NA NA NA 3 NA - 4253 NA 7031 56486 cg11729241 2.593294975287918e-4 0.9999910461654503
DNM1P35 NR_024595 promoter promoter 943 NA NA NA 5 NA - 12407 NA 100128285 316 cg01341130 2.5974766791542084e-4 0.9999910461654503
TDP1 "NM_001008744 NM_001330205 NM_018319 NP_001008744 NP_001317134 NP_060789 XM_005267848 XM_006720197 XM_011536942 XM_011536944 XM_017021439 XM_017021440 XM_024449649 XM_024449650 XM_024449651 XM_024449652 XM_024449653 XM_024449654 XM_024449655 XM_024449656 XM_024449657 XM_024449658 XM_024449659 XP_005267905 XP_006720260 XP_011535244 XP_011535246 XP_016876928 XP_016876929 XP_024305417 XP_024305418 XP_024305419 XP_024305420 XP_024305421 XP_024305422 XP_024305423 XP_024305424 XP_024305425 XP_024305426 XP_024305427 XR_001750427 XR_943492" "inside intron" inside 2141 "inside intron" -1905 1 18 "inside transcription region" + 88199 NA 55775 45942 cg20568408 2.611540647948485e-4 0.9999910461654503
ST8SIA2 "NM_001330416 NM_006011 NP_001317345 NP_006002 XM_017022642 XP_016878131" "inside intron" inside 48901 "inside intron" 1819 4 5 "inside transcription region" + 74818 NA 8128 63198 cg19437240 2.6222671636750954e-4 0.9999910461654503
DNM1P46 "NM_194295 NR_003260" "inside exon" inside 3202 "inside exon" -0 2 2 "inside transcription region" - 5296 NA 196968 16197 cg15608351 2.633887799366575e-4 0.9999910461654503
MFGE8 "NM_001114614 NM_001310319 NM_001310320 NM_001310321 NM_005928 NP_001108086 NP_001297248 NP_001297249 NP_001297250 NP_005919 XM_017022206 XM_024449930 XP_016877695 XP_024305698 XR_931838" upstream upstream 76944 NA NA NA 3 NA - 7369 NA 4240 35372 cg11992550 2.6618598305441104e-4 0.9999910461654503
C1orf159 "NM_001330306 NM_001363525 NM_017891 NP_001317235 NP_001350454 NP_060361" "inside intron" inside 4256 "inside intron" 3959 1 10 "5' UTR" - 34538 NA 54991 43530 cg12137247 2.676764110487583e-4 0.9999910461654503
CPVL "NM_001348052 NM_001348054 NM_001371255 NM_001371256 NM_001371257 NM_001371258 NM_001371260 NM_001371261 NM_001371262 NM_001371263 NM_001371264 NM_001371265 NM_001371266 NM_001371267 NM_001371268 NM_019029 NM_031311 NP_001334981 NP_001334983 NP_001358184 NP_001358185 NP_001358186 NP_001358187 NP_001358189 NP_001358190 NP_001358191 NP_001358192 NP_001358193 NP_001358194 NP_001358195 NP_001358196 NP_001358197 NP_061902 NP_112601 XM_011515437 XM_017012366 XP_011513739 XP_016867855" "inside intron" inside 48922 "inside intron" -25277 6 17 "5' UTR" - 199645 NA 54504 42296 cg22187722 2.6915608652679717e-4 0.9999910461654503
AMOTL2 "NM_001278683 NM_001278685 NM_001363943 NM_016201 NP_001265612 NP_001265614 NP_001350872 NP_057285 XM_006713654 XM_017006580 XM_017006581 XM_017006582 XP_006713717 XP_016862069 XP_016862070 XP_016862071" downstream downstream 25544 NA NA NA 10 NA - 20069 NA 51421 40025 cg06298336 2.693133091746732e-4 0.9999910461654503
ARID1B "NM_001346813 NM_001363725 NM_001371656 NM_017519 NM_020732 NP_001333742 NP_001350654 NP_001358585 NP_059989 NP_065783 XM_011535984 XM_011535988 XM_017011103 XM_017011104 XM_017011105 XM_017011106 XM_017011107 XP_011534286 XP_011534290 XP_016866592 XP_016866593 XP_016866594 XP_016866595 XP_016866596 XR_002956289" upstream upstream 107688 NA NA NA 19 NA + 432849 NA 57492 48678 cg06058079 2.6983111860690793e-4 0.9999910461654503
C1GALT1C1 "NM_001011551 NM_152692 NP_001011551 NP_689905" upstream upstream 102972 NA NA NA 2 NA - 4476 NA 29071 27676 cg15577287 2.723618759011495e-4 0.9999910461654503
UBA6-AS1 NR_015439 "inside intron" inside 263063 "inside intron" 98260 7 8 "inside transcription region" + 379673 NA 550112 43613 cg24087678 2.7276014365891786e-4 0.9999910461654503
PATE4 "NM_001144874 NP_001138346" promoter promoter 893 NA NA NA 2 NA + 6756 NA 399968 33783 cg20673919 2.7282060975186397e-4 0.9999910461654503
ASAP1 "NM_001247996 NM_001362924 NM_001362925 NM_001362926 NM_018482 NP_001234925 NP_001349853 NP_001349854 NP_001349855 NP_060952 XM_006716563 XM_006716564 XM_006716565 XM_011517052 XM_011517053 XM_017013467 XM_017013468 XP_006716626 XP_006716627 XP_006716628 XP_011515354 XP_011515355 XP_016868956 XP_016868957" "inside intron" inside 293609 "inside intron" 2684 14 31 "inside transcription region" - 391555 NA 50807 38697 cg17665601 2.7480157360038233e-4 0.9999910461654503
ANXA4 "NM_001153 NM_001320698 NM_001320700 NM_001320702 NM_001365496 NP_001144 NP_001307627 NP_001307629 NP_001307631 NP_001352425 XM_017003943 XM_017003944 XM_024452834 XM_024452835 XP_016859432 XP_016859433 XP_024308602 XP_024308603 XR_001738734" "inside intron" inside 1167 "inside intron" -986 1 13 "5' UTR" + 84469 NA 307 28668 cg12518775 2.754602147302113e-4 0.9999910461654503
DLG2 "NM_001142699 NM_001142700 NM_001142702 NM_001206769 NM_001300983 NM_001351274 NM_001351275 NM_001351276 NM_001364 NP_001136171 NP_001136172 NP_001136174 NP_001193698 NP_001287912 NP_001338203 NP_001338204 NP_001338205 NP_001355 XM_005273810 XM_005273811 XM_011544778 XM_011544780 XM_011544782 XM_011544788 XM_017017254 XM_017017255 XM_017017256 XM_017017257 XM_017017258 XM_017017261 XM_017017262 XM_017017263 XM_017017264 XM_017017265 XM_017017266 XM_017017267 XM_017017268 XM_017017269 XM_017017270 XM_017017271 XM_017017273 XM_017017274 XM_017017275 XM_017017276 XM_017017277 XM_017017278 XM_017017279 XM_017017280 XM_017017281 XM_017017283 XM_017017284 XM_017017285 XM_017017286 XM_017017287 XM_017017288 XM_017017289 XM_017017290 XM_017017291 XM_017017292 XM_024448378 XM_024448379 XP_005273867 XP_005273868 XP_011543080 XP_011543082 XP_011543084 XP_011543090 XP_016872743 XP_016872744 XP_016872745 XP_016872746 XP_016872747 XP_016872750 XP_016872751 XP_016872752 XP_016872753 XP_016872754 XP_016872755 XP_016872756 XP_016872757 XP_016872758 XP_016872759 XP_016872760 XP_016872762 XP_016872763 XP_016872764 XP_016872765 XP_016872766 XP_016872767 XP_016872768 XP_016872769 XP_016872770 XP_016872772 XP_016872773 XP_016872774 XP_016872775 XP_016872776 XP_016872777 XP_016872778 XP_016872779 XP_016872780 XP_016872781 XP_024304146 XP_024304147" "inside intron" inside 143215 "inside intron" 114601 3 28 "inside transcription region" - 2172258 NA 1740 15250 cg25026767 2.7972004645422535e-4 0.9999910461654503
KLRC1 "NM_001304448 NM_002259 NM_007328 NM_213657 NM_213658 NP_001291377 NP_002250 NP_015567 NP_998822 NP_998823 XM_024448973 XP_024304741" upstream upstream 51114 NA NA NA 7 NA - 8577 NA 3821 32513 cg02593636 2.805458425518705e-4 0.9999910461654503
SLC22A10 "NM_001039752 NP_001034841 NR_134874 XM_011545016 XM_017017699 XM_017017700 XM_017017701 XM_017017702 XM_017017704 XP_011543318 XP_016873188 XP_016873189 XP_016873190 XP_016873191 XP_016873193" "inside intron" inside 111750 "inside intron" 31040 5 10 "inside transcription region" + 215211 NA 387775 32763 cg16757456 2.8091820301133133e-4 0.9999910461654503
LYN "NM_001111097 NM_002350 NP_001104567 NP_002341 XM_011517529 XM_017013415 XM_017013416 XP_011515831 XP_016868904 XP_016868905" "inside intron" inside 104398 "inside intron" 14115 11 13 "inside transcription region" + 132620 NA 4067 34513 cg16073549 2.8278215765624876e-4 0.9999910461654503
C2CD4B "NM_001007595 NP_001007596 XM_017022170 XP_016877659" upstream upstream 78075 NA NA NA 2 NA - 1745 NA 388125 32814 cg07625092 2.832826721307383e-4 0.9999910461654503
RDH14 "NM_020905 NP_065956" "inside intron" inside 1275 "inside intron" 761 1 2 "inside transcription region" - 5970 NA 57665 49169 cg00470786 2.850652713779904e-4 0.9999910461654503
ARF6 "NM_001663 NP_001654" downstream downstream 27955 NA NA NA 2 NA + 4036 NA 382 32507 cg07139694 2.8523806420616577e-4 0.9999910461654503
AHNAK "NM_001346445 NM_001346446 NM_001620 NM_024060 NP_001333374 NP_001333375 NP_001611 NP_076965 XM_017018270 XP_016873759" "inside exon" inside 17551 "inside exon" -0 5 5 "inside transcription region" - 30958 NA 79026 59776 cg14893980 2.8535911946956066e-4 0.9999910461654503
TRIM4 "NM_033017 NM_033091 NP_148977 NP_149082" "inside intron" inside 22453 "inside intron" -4395 7 7 "inside transcription region" - 29193 NA 89122 68297 cg23024233 2.8550800012617134e-4 0.9999910461654503
NCAM1 "NM_000615 NM_001076682 NM_001242607 NM_001242608 NM_181351 NP_000606 NP_001070150 NP_001229536 NP_001229537 NP_851996" upstream upstream 35516 NA NA NA 20 NA + 317189 NA 4684 37129 cg17088011 2.8625677833421666e-4 0.9999910461654503
SLCO5A1 "NM_001146008 NM_001146009 NM_030958 NP_001139480 NP_001139481 NP_112220 XM_005251313 XM_017013883 XM_017013884 XM_017013885 XM_017013886 XP_005251370 XP_016869372 XP_016869373 XP_016869374 XP_016869375 XR_428341 XR_928814" "inside intron" inside 144825 "inside intron" -7890 7 10 "inside transcription region" - 162731 NA 81796 63565 cg16792875 2.873013321447238e-4 0.9999910461654503
EEFSEC "NM_021937 NP_068756 XM_005247696 XM_011513066 XM_024453692 XM_024453693 XM_024453694 XM_024453695 XM_024453696 XP_005247753 XP_011511368 XP_024309460 XP_024309461 XP_024309462 XP_024309463 XP_024309464" "inside intron" inside 123033 "inside intron" -11721 4 7 "inside transcription region" + 255176 NA 60678 50978 cg18144654 2.88480040690882e-4 0.9999910461654503
RNF157 "NM_001330501 NM_052916 NP_001317430 NP_443148 XM_005257007 XM_011524273 XM_017024117 XM_017024120 XP_005257064 XP_011522575 XP_016879606 XP_016879609 XR_001752422" "inside intron" inside 14579 "inside intron" -13242 2 18 "inside transcription region" - 97856 NA 114804 8186 cg01603311 2.9053245480563e-4 0.9999910461654503
ARHGAP27P1 NR_027487 "inside intron" inside 7055 "inside intron" 5690 2 4 "inside transcription region" - 19352 NA 146880 12318 cg05324519 2.954429072519706e-4 0.9999910461654503
MRPL30 "NM_016503 NM_145212 NM_145213 NP_660213 NR_028356" "inside intron" inside 13007 "inside intron" -4209 4 14 "inside transcription region" + 181011 NA 51263 39590 cg06010111 2.970560912874586e-4 0.9999910461654503
PHF5A "NM_032758 NP_116147" "inside exon" inside 8465 "inside exon" -0 4 4 3'UTR - 8987 NA 84844 66168 cg12400459 3.0012728754960204e-4 0.9999910461654503
IL15 "NM_000585 NM_172174 NM_172175 NP_000576 NP_751915 NR_037840" "inside intron" inside 16345 "inside intron" 3239 2 10 "5' UTR" + 97391 NA 3600 31442 cg22196946 3.0238097838590424e-4 0.9999910461654503
TMED10P1 NR_002807 "inside exon" inside 3134 "inside exon" 0 1 1 3'UTR + 4032 NA 286102 27203 cg21544702 3.0295768589864633e-4 0.9999910461654503
INPP5A "NM_001321042 NM_005539 NP_001307971 NP_005530 XM_017016204 XM_017016205 XP_016871693 XP_016871694 XR_001747104 XR_945735" "inside intron" inside 106187 "inside intron" -3645 7 13 "inside transcription region" + 175565 NA 3632 31555 cg02676262 3.0487214758558755e-4 0.9999910461654503
TLR4 "NM_003266 NM_138554 NM_138556 NM_138557 NP_003257 NP_612564 NP_612567" downstream downstream 425726 NA NA NA 2 NA + 13316 NA 7099 56737 cg10979732 3.0575188084043054e-4 0.9999910461654503
LINC00273 NM_001040069 promoter promoter 172 NA NA NA 1 NA - 1451 NA 649159 53792 cg16527107 3.0650700052049275e-4 0.9999910461654503
FAM47C "NM_001013736 NP_001013758" upstream upstream 23897 NA NA NA 1 NA + 3307 NA 442444 36448 cg05396017 3.072370499161591e-4 0.9999910461654503
PKHD1 "NM_138694 NM_170724 NP_619639 NP_733842 XM_011514680 XM_011514682 XM_011514683 XM_011514684 XM_011514685 XM_011514686 XM_011514687 XM_011514688 XM_011514690 XM_011514691 XM_017010944 XM_017010945 XM_017010946 XM_017010947 XM_017010948 XM_017010949 XM_017010950 XM_017010951 XM_017010952 XP_011512982 XP_011512984 XP_011512985 XP_011512986 XP_011512987 XP_011512988 XP_011512989 XP_011512990 XP_011512992 XP_011512993 XP_016866433 XP_016866434 XP_016866435 XP_016866436 XP_016866437 XP_016866438 XP_016866439 XP_016866440 XP_016866441 XR_001743469" downstream downstream 677032 NA NA NA 67 NA - 472278 NA 5314 41307 cg03449513 3.0778617356169924e-4 0.9999910461654503
RGMA "NM_001166283 NM_001166286 NM_001166287 NM_001166288 NM_001166289 NM_020211 NP_001159755 NP_001159758 NP_001159759 NP_001159760 NP_001159761 NP_064596" upstream upstream 158471 NA NA NA 4 NA - 45807 NA 56963 47545 cg02343628 3.103353195646349e-4 0.9999910461654503
